time,AkSuu,AlaArcha,Alamedin,ChonKayindi,ChonKemin,KaraBalta,Kegety,Kochkor,Sokuluk
721886,8.096666667,6.27,7.633333333,NaN,33.3,8.763333333,3.603333333,16.86666667,7.92
721916,12.36666667,12.9,21.3,NaN,48.63333333,9.92,5.533333333,18.93333333,15.93333333
721947,9.826666667,13.83333333,21.1,NaN,41.1,6.22,5.15,22.06666667,14.2
721978,5.273333333,6.546666667,10.92666667,NaN,27.76666667,3.616666667,3.02,24.63333333,7.043333333
722008,3.016666667,2.826666667,4.166666667,NaN,17.1,2.34,1.666666667,22.16666667,2.91
722039,2.243333333,2.136666667,2.413333333,NaN,14.4,1.716666667,0.886666667,23.46666667,2.363333333
722069,1.87,1.94,1.87,NaN,11.23333333,1.48,0.5,23.33333333,1.75
722100,1.513333333,1.743333333,1.563333333,NaN,10.23333333,1.63,0.4,22.4,1.49
722131,1.45,1.476666667,1.34,NaN,10.36666667,1.406666667,0.43,22.4,1.393333333
722159,1.546666667,1.55,1.33,NaN,9.74,1.366666667,0.456666667,15.13333333,1.346666667
722190,1.916666667,1.516666667,1.42,NaN,12.22666667,1.706666667,0.436666667,18.9,1.68
722220,4.01,3.483333333,3.503333333,NaN,19,4.85,1.313333333,22.1,1.68
722251,14.9,11.91666667,17.86666667,NaN,42.6,17.73333333,6.223333333,25.53333333,14.03333333
722281,12.93333333,14.23333333,22.03333333,NaN,40.4,10.85333333,5.886666667,20.7,14.56666667
722312,10.8,11.93333333,18.7,NaN,39.2,7.27,4.876666667,30,13.06666667
722343,6.01,6.553333333,10.87666667,NaN,26.8,4.11,3.26,30.23333333,6.34
722373,3.813333333,3.366666667,5.313333333,NaN,17.46666667,2.783333333,1.61,21.4,3.03
722404,2.576666667,2.27,3.116666667,NaN,14.23333333,2.15,1.123333333,28.3,2.093333333
722434,1.823333333,1.826666667,2.06,NaN,10.78666667,1.69,0.693333333,24.93333333,1.83
722465,1.713333333,1.66,1.723333333,NaN,9.683333333,1.483333333,0.436666667,21.66666667,1.666666667
