time,AlpineCamp,Baytyk,Belogorka,Bishkek,ChonArik,ChonKemin,ChonKurchak,KaraKudzhur,Kegety,Kochkorka,Shabdan,Sosnovka
729221,17.57646988,17.57646988,17.57646988,17.57646988,17.57646988,16.79765986,17.57646988,10.79442288,16.79765986,16.79765986,16.49541061,18.10625509
729231,22.09748146,22.09748146,22.09748146,22.09748146,22.09748146,20.93393202,22.09748146,14.08539039,20.93393202,20.93393202,20.59991524,23.0253295
729242,21.72610271,21.72610271,21.72610271,21.72610271,21.72610271,20.64147172,21.72610271,14.39213756,20.64147172,20.64147172,20.49485565,23.18459296
729252,16.89163701,16.89163701,16.89163701,16.89163701,16.89163701,15.9742912,16.89163701,10.79137814,15.9742912,15.9742912,15.90631147,18.01233649
729262,16.26807693,16.26807693,16.26807693,16.26807693,16.26807693,15.08616321,16.26807693,9.026912553,15.08616321,15.08616321,14.77913393,17.67999645
729273,16.39118673,16.39118673,16.39118673,16.39118673,16.39118673,15.05144144,16.39118673,8.909902883,15.05144144,15.05144144,14.75838496,17.76992814
729283,16.55308506,16.55308506,16.55308506,16.55308506,16.55308506,15.41950397,16.55308506,9.777771624,15.41950397,15.41950397,15.04576182,17.67963981
729293,13.24327421,13.24327421,13.24327421,13.24327421,13.24327421,12.4625905,13.24327421,7.266151757,12.4625905,12.4625905,12.14874781,13.62088084
729303,7.658455128,7.658455128,7.658455128,7.658455128,7.658455128,6.681619734,7.658455128,1.52751462,6.681619734,6.681619734,6.278191341,8.429828951
729313,7.259652402,7.259652402,7.259652402,7.259652402,7.259652402,6.573648477,7.259652402,1.935919995,6.573648477,6.573648477,6.396526433,7.58333196
729323,8.118067538,8.118067538,8.118067538,8.118067538,8.118067538,6.664202954,8.118067538,0.377448277,6.664202954,6.664202954,5.686265704,8.4921131
729334,3.856157169,3.856157169,3.856157169,3.856157169,3.856157169,2.812981518,3.856157169,-2.145615991,2.812981518,2.812981518,1.97274967,4.2913797
729344,-0.735665964,-0.735665964,-0.735665964,-0.735665964,-0.735665964,-1.578591237,-0.735665964,-7.196843937,-1.578591237,-1.578591237,-2.307924191,-0.400100199
729354,-0.588932792,-0.588932792,-0.588932792,-0.588932792,-0.588932792,-1.582514271,-0.588932792,-9.549844426,-1.582514271,-1.582514271,-2.029388798,0.198894351
729364,-4.397086026,-4.397086026,-4.397086026,-4.397086026,-4.397086026,-6.437063557,-4.397086026,-13.68612723,-6.437063557,-6.437063557,-7.732660079,-3.590112136
729374,0.395982881,0.395982881,0.395982881,0.395982881,0.395982881,-1.851856884,0.395982881,-8.372817207,-1.851856884,-1.851856884,-3.55966471,0.784890193
729384,2.964201958,2.964201958,2.964201958,2.964201958,2.964201958,1.458864191,2.964201958,-4.867599891,1.458864191,1.458864191,0.277482777,3.326111133
729395,0.715739405,0.715739405,0.715739405,0.715739405,0.715739405,-0.925786717,0.715739405,-8.25331106,-0.925786717,-0.925786717,-2.033546042,1.030460393
729405,-4.109299299,-4.109299299,-4.109299299,-4.109299299,-4.109299299,-5.278070582,-4.109299299,-10.77119607,-5.278070582,-5.278070582,-6.167252521,-3.609610199
729415,-4.093639102,-4.093639102,-4.093639102,-4.093639102,-4.093639102,-5.424436468,-4.093639102,-12.23076689,-5.424436468,-5.424436468,-6.364314436,-3.334316498
729426,-4.861643481,-4.861643481,-4.861643481,-4.861643481,-4.861643481,-5.787655095,-4.861643481,-12.17734017,-5.787655095,-5.787655095,-6.524541353,-4.714032018
729436,-2.170091037,-2.170091037,-2.170091037,-2.170091037,-2.170091037,-3.315968198,-2.170091037,-10.76498948,-3.315968198,-3.315968198,-4.288587795,-1.689197367
729446,-1.858707555,-1.858707555,-1.858707555,-1.858707555,-1.858707555,-2.917487512,-1.858707555,-8.238760704,-2.917487512,-2.917487512,-3.952407227,-1.5687251
729454,2.929794238,2.929794238,2.929794238,2.929794238,2.929794238,2.282669333,2.929794238,-3.4847172,2.282669333,2.282669333,2.122059162,3.185084193
729464,2.346140506,2.346140506,2.346140506,2.346140506,2.346140506,1.798086841,2.346140506,-4.715437284,1.798086841,1.798086841,1.352851791,2.278921958
729474,6.643443346,6.643443346,6.643443346,6.643443346,6.643443346,5.332340993,6.643443346,-1.524131864,5.332340993,5.332340993,4.250658929,7.136830042
729485,10.602487,10.602487,10.602487,10.602487,10.602487,9.663593778,10.602487,2.698218143,9.663593778,9.663593778,8.961780612,10.71086812
729495,10.14442889,10.14442889,10.14442889,10.14442889,10.14442889,9.520198112,10.14442889,5.234313057,9.520198112,9.520198112,9.052595915,10.2726594
729505,16.62463651,16.62463651,16.62463651,16.62463651,16.62463651,15.54832001,16.62463651,8.747653235,15.54832001,15.54832001,14.77987382,16.91599495
729515,12.79171547,12.79171547,12.79171547,12.79171547,12.79171547,11.72388911,12.79171547,5.228282125,11.72388911,11.72388911,11.12225969,13.44422722
729525,11.6019823,11.6019823,11.6019823,11.6019823,11.6019823,10.47601307,11.6019823,3.205577653,10.47601307,10.47601307,9.628872002,12.02092717
729535,18.12664742,18.12664742,18.12664742,18.12664742,18.12664742,17.09308506,18.12664742,10.99497667,17.09308506,17.09308506,16.79627589,18.63829192
729546,18.21487043,18.21487043,18.21487043,18.21487043,18.21487043,17.12707759,18.21487043,10.90063756,17.12707759,17.12707759,16.30821749,18.49943675
729556,18.61824027,18.61824027,18.61824027,18.61824027,18.61824027,17.41808472,18.61824027,10.19671649,17.41808472,17.41808472,16.76978876,19.19551175
729566,19.81136949,19.81136949,19.81136949,19.81136949,19.81136949,18.50663874,19.81136949,11.54143877,18.50663874,18.50663874,17.71436159,20.40743641
729576,21.0715416,21.0715416,21.0715416,21.0715416,21.0715416,19.79111024,21.0715416,13.02165208,19.79111024,19.79111024,19.10891225,21.71550466
729586,24.36390373,24.36390373,24.36390373,24.36390373,24.36390373,22.94493658,24.36390373,16.03483474,22.94493658,22.94493658,21.93138862,25.44314787
729596,21.14312499,21.14312499,21.14312499,21.14312499,21.14312499,19.80886769,21.14312499,13.51923861,19.80886769,19.80886769,19.1373742,22.17322741
729607,19.95757569,19.95757569,19.95757569,19.95757569,19.95757569,18.96803435,19.95757569,13.11076936,18.96803435,18.96803435,18.71192466,20.32153953
729617,21.79806403,21.79806403,21.79806403,21.79806403,21.79806403,20.21181169,21.79806403,13.97992626,20.21181169,20.21181169,19.59337763,22.5395174
729627,19.13780004,19.13780004,19.13780004,19.13780004,19.13780004,18.04808028,19.13780004,10.74229497,18.04808028,18.04808028,17.57417568,19.61095942
729638,17.23768372,17.23768372,17.23768372,17.23768372,17.23768372,16.1952107,17.23768372,10.96024425,16.1952107,16.1952107,15.81274419,17.6429858
729648,16.38140842,16.38140842,16.38140842,16.38140842,16.38140842,15.0794882,16.38140842,9.571958736,15.0794882,15.0794882,14.5017483,17.11191243
729658,15.56775952,15.56775952,15.56775952,15.56775952,15.56775952,14.13860419,15.56775952,6.997101907,14.13860419,14.13860419,13.9840835,16.74320581
729668,14.60737744,14.60737744,14.60737744,14.60737744,14.60737744,13.28830127,14.60737744,5.578778838,13.28830127,13.28830127,12.68690606,15.40685658
729678,12.41674371,12.41674371,12.41674371,12.41674371,12.41674371,10.90719546,12.41674371,3.076234646,10.90719546,10.90719546,10.08089917,13.40786597
729688,10.10098276,10.10098276,10.10098276,10.10098276,10.10098276,8.620716213,10.10098276,1.395999838,8.620716213,8.620716213,7.910152074,11.19182034
729699,3.131566987,3.131566987,3.131566987,3.131566987,3.131566987,2.355801708,3.131566987,-1.803199555,2.355801708,2.355801708,1.631738501,3.00286806
729709,0.718959806,0.718959806,0.718959806,0.718959806,0.718959806,-0.174379379,0.718959806,-5.190124363,-0.174379379,-0.174379379,-0.62710918,1.123793464
